,filename,1,2,3,4,5,mean
0,CF1.jpg,0,1,9,32,18,4.116666666666666
1,CF10.jpg,0,2,31,19,8,3.55
2,CF100.jpg,12,28,20,0,0,2.1333333333333333
3,CF101.jpg,5,21,34,0,0,2.4833333333333334
4,CF102.jpg,1,7,29,19,4,3.3
5,CF103.jpg,4,20,32,4,0,2.6
6,CF104.jpg,4,23,29,4,0,2.55
7,CF105.jpg,1,14,44,1,0,2.75
8,CF106.jpg,1,14,35,10,0,2.9
9,CF107.jpg,0,2,18,29,11,3.816666666666667
10,CF108.jpg,11,32,17,0,0,2.1
11,CF109.jpg,6,30,23,1,0,2.316666666666667
12,CF11.jpg,0,2,0,32,26,4.366666666666666
13,CF110.jpg,3,19,34,4,0,2.65
14,CF111.jpg,1,10,38,11,0,2.9833333333333334
15,CF112.jpg,2,15,38,4,1,2.783333333333333
16,CF113.jpg,2,12,40,5,1,2.85
17,CF114.jpg,13,23,22,2,0,2.216666666666667
18,CF115.jpg,3,14,39,4,0,2.7333333333333334
19,CF116.jpg,1,11,42,6,0,2.8833333333333333
20,CF117.jpg,15,31,14,0,0,1.9833333333333334
21,CF118.jpg,18,31,11,0,0,1.8833333333333333
22,CF119.jpg,4,22,31,3,0,2.55
23,CF12.jpg,0,1,13,26,20,4.083333333333333
24,CF120.jpg,3,23,33,0,1,2.55
25,CF121.jpg,13,31,15,1,0,2.066666666666667
26,CF122.jpg,0,7,37,16,0,3.15
27,CF123.jpg,1,17,42,0,0,2.683333333333333
28,CF124.jpg,2,5,44,9,0,3.0
29,CF125.jpg,0,0,21,32,7,3.7666666666666666
30,CF126.jpg,2,11,44,2,1,2.816666666666667
31,CF127.jpg,3,16,31,10,0,2.8
32,CF128.jpg,3,13,41,3,0,2.7333333333333334
33,CF129.jpg,26,30,4,0,0,1.6333333333333333
34,CF13.jpg,0,0,9,30,21,4.2
35,CF130.jpg,0,9,46,3,2,2.966666666666667
36,CF131.jpg,0,7,32,19,2,3.2666666666666666
37,CF132.jpg,3,16,40,1,0,2.65
38,CF133.jpg,0,8,48,4,0,2.933333333333333
39,CF134.jpg,2,21,35,2,0,2.6166666666666667
40,CF135.jpg,10,39,11,0,0,2.0166666666666666
41,CF136.jpg,3,26,31,0,0,2.466666666666667
42,CF137.jpg,0,13,38,9,0,2.933333333333333
43,CF138.jpg,15,36,9,0,0,1.9
44,CF139.jpg,7,28,24,1,0,2.316666666666667
45,CF14.jpg,0,0,3,30,27,4.4
46,CF140.jpg,2,17,41,0,0,2.65
47,CF141.jpg,0,2,28,23,7,3.5833333333333335
48,CF142.jpg,5,29,25,1,0,2.3666666666666667
49,CF143.jpg,0,3,19,31,7,3.7
50,CF144.jpg,4,18,37,1,0,2.5833333333333335
51,CF145.jpg,12,34,13,1,0,2.05
52,CF146.jpg,1,3,37,16,3,3.283333333333333
53,CF147.jpg,6,27,27,0,0,2.35
54,CF148.jpg,6,27,27,0,0,2.35
55,CF149.jpg,0,3,26,24,7,3.5833333333333335
56,CF15.jpg,0,0,16,32,12,3.933333333333333
57,CF150.jpg,0,2,27,24,7,3.6
58,CF151.jpg,3,14,42,1,0,2.683333333333333
59,CF152.jpg,14,24,21,1,0,2.15
60,CF153.jpg,0,1,30,24,5,3.55
61,CF154.jpg,6,32,21,1,0,2.283333333333333
62,CF155.jpg,12,26,21,1,0,2.183333333333333
63,CF156.jpg,1,8,43,7,1,2.9833333333333334
64,CF157.jpg,0,9,50,1,0,2.8666666666666667
65,CF158.jpg,3,30,27,0,0,2.4
66,CF159.jpg,5,25,29,1,0,2.433333333333333
67,CF16.jpg,0,1,25,28,6,3.65
68,CF160.jpg,4,27,29,0,0,2.4166666666666665
69,CF161.jpg,9,30,20,1,0,2.216666666666667
70,CF162.jpg,19,32,9,0,0,1.8333333333333333
71,CF163.jpg,0,5,33,21,1,3.3
72,CF164.jpg,2,26,31,1,0,2.5166666666666666
73,CF165.jpg,13,39,8,0,0,1.9166666666666667
74,CF166.jpg,5,24,31,0,0,2.433333333333333
75,CF167.jpg,0,7,38,13,2,3.1666666666666665
